text,ipa
Oer yw’r eira ar Eryri,ˈɔɨr ɨur ˈəɪra ar ɛrˈʌrɨ
Rowliodd lori Lowri lawr y lôn,rɔˈʊljɔð lˈɔrɨ lɔˈʊrɨ lˈaʊr ə lˈoːn
"Barf gafr, barf gafr, barf gafr","bˈarv ɡˈavr, bˈarv ɡˈavr, bˈarv ɡˈavr"
Chwech o berchyll bychain cochion,xwˈeːç oː bˈɛrxøɬ bˈʌxaɪn kˈoːxjɔn
Llongyfarchiadau llanciau Llanelli,ɬˌɔŋʌvarxjˈɑːdaɨ ɬˈankjaɨ ɬanˈɛɬɨ
Collais fy nghyllell yn Llanelli,kˈɔɬaɪs vø ŋhˈʌɬɛɬ ən ɬanˈɛɬɨ
Pesychoch chi fel na phesychasoch chi o’r blaen,pɛsˈʌxɔx xiː vɛl na fˌɛsʌxˈɑːsɔx xiː oːr blˈɑɨn
Mae Llewelyn y llyfrgellydd o Llanelli wedi llyfu llawer o lyfaint,mɑɨ ɬeʊˈɛløn ə ɬʌvrɡˈɛɬøð oː ɬanˈɛɬɨ wˌɛdɨ ɬˈʌvø ɬˈaʊɛr oː lˈʌvaɪnt
"Wel wedodd Wil wrth y wal, ond na wedodd y wal wel i Wil","wˈɛl wˈeːdɔð wˈiːl ʊrθ ə wˈal, ˈɔnd na wˈeːdɔð ə wˈal wˈɛl ɨ wˈiːl"
Ydy dy dei du di yn dy dŷ du di neu ydy dy dad di yn dy dŷ du di,ˈʌdø dˈɨː dˈəɪ dˈɨː dˈiː ən dˈɨː dˈɨː dˈɨː dˈiː nˈəɨ ˈʌdø dˈɨː dˈɑːd dˈiː ən dˈɨː dˈɨː dˈɨː dˈiː
Chwaraeasoch chwe chŵn chwaraegar chwe chwibanau chwedlonol i chdi,xwˌarɑɨˈɑːsɔx xwˈeː xˈuːn xwarˈɑɨɡar xwˈeː xwɨbˈanaɨ xwɛdlˈɔnɔl ɨ xdˈiː
Llawr ar lawr y cawr enfawr mae llawer o lewod lliwiog yn llyfu llaw gwawr nawr,ɬˈaʊr ar lˈaʊr ə kˈaʊr ˈɛnvaʊr mɑɨ ɬˈaʊɛr oː lˈeʊɔd ɬˈɪujɔɡ ən ɬˈʌvø ɬˈaʊ ɡwˈaʊr nˈaʊr
Magwyd Magi Madog mewn ffedog ond methwyd magu mab Magi Madog yn yr un ffedog ag y magwyd Magi Madog,mˈɑːɡuɨd mˈɑːɡɨ mˈɑːdɔɡ meʊn fˈeːdɔɡ ˈɔnd mˈeːθuɨd mˈɑːɡø mˈɑːb mˈɑːɡɨ mˈɑːdɔɡ ən ər ˈɨːn fˈeːdɔɡ ˈɑːɡ ə mˈɑːɡuɨd mˈɑːɡɨ mˈɑːdɔɡ
O’i wiw ŵy i wau e â – o’i ieuau; Ei weau a wea; E wywa ei we aea; A’i weau yw ieuau iâ,ˈoːɨ wˈɪu ˈuːø ɨ wˈaɨ ɛ ɑː ˈoːɨ jˈəɨaɨ; əɪ wˈeːaɨ a wˈeːa; ɛ ˈuɨwa əɪ wˈeː ˈɑɨa; ˈaɪ wˈeːaɨ ɨu jˈəɨaɨ jˈɑː
Nyth y neidr yn nithio,nˈɨːθ ə nˈəɪdr ən nˈiːθjɔ
Cysgodion y cysgod yn cysgu,kʌsɡˈoːdjɔn ə kˈʌsɡɔd ən kˈʌsɡø
Cleddyf o gleddyf cledd,klˈeːðøv oː ɡlˈeːðøv klˈeːð
Pethau bach yn bethau bychain,pˈeːθaɨ bˈɑːx ən bˈeːθaɨ bˈʌxaɪn
Bocs o boced boced bocsi,bˈɔks oː bˈɔkɛd bˈɔkɛd bˈɔksɨ
Twll y tŷ yn tynnu'r twll o'r tŷ,tˈʊɬ ə tˈɨː ən tˈʌnnør tˈʊɬ oːr tˈɨː
"Gogledd Cymru yn ddwfn, de, a dyfn","ɡˈɔɡlɛð kˈʌmrø ən ðˈʊvn, dˈeː, a dˈøvn"
Llwy y llew yn llenwi'r llestri llawn,ɬˈuɨ ə ɬˈeʊ ən ɬˈɛnwɨr ɬˈɛstrɨ ɬˈaʊn
Ffoniwch ffôn,fˈɔnɪux fˈoːn
Pentwr o bren gwern a wnaeth y pentwr o bren wern,pˈɛntʊr oː brˈɛn ɡwˈɛrn a ˈʊnɑɨθ ə pˈɛntʊr oː brˈɛn wˈɛrn
Sut ydw i'n gwybod sut y mae'r ci'n gwisgo?,sˈøt ˈʌdʊ ɨn ɡˈuɨbɔd sˈøt ə mɑɨr kˈiːn ɡwˈɨsɡɔ?
Gwallt o galed y gwrthrych a galedodd,ɡwˈaɬt oː ɡˈalɛd ə ɡwrθrˈɨːx a ɡalˈeːdɔð
Beth yw hen eirin fach yn ei gwisgo?,bˈeːθ ɨu hˈɛn ˈəɪrɨn vˈɑːx ən əɪ ɡwˈɨsɡɔ?
Gwr gwiw gwin gwrw gwn,ɡwr ɡwˈɪu ɡwˈiːn ɡwrˈuː ɡwən
Ffrindiau y ffliw ffliwiau,frˈɨndjaɨ ə flˈɪu flˈɪujaɨ
"Gwnaeth Llŷr ap Llew, y llywiwr call (darllenwr Llyfyrgell Pencelli) golli'r llwybyr - erchyll wall - yn Llŷn, Llangollen a Llanelli.","ɡwənˈɑɨθ ɬˈɨːr ap ɬˈeʊ, ə ɬˈɨuɪur kˈaɬ (darɬˈɛnʊr ɬʌvˈʌrɡɛɬ pɛnkˈɛɬɨ) ɡˈɔɬɨr ɬˈuɨbør ˈɛrxøɬ wˈaɬ ən ɬˈɨːn, ɬanɡˈɔɬɛn a ɬanˈɛɬɨ."
Saith seren sych sy'n sefyll yn y sessiwn,sˈaɪθ sˈɛrɛn sˈɨːx søn sˈeːvøɬ ən ə sˈɛsʃʊn
Cân cerddwr corff crwn cryf,kˈɑːn kˈɛrðʊr kˈɔrf krˈʊn krˈøv
"Llyfr llyff, llyfr llipa, llyfr lli, llyfr lliwgar","ɬˈøvr ɬˈøf, ɬˈøvr ɬˈɨpa, ɬˈøvr ɬˈiː, ɬˈøvr ɬˈɪuɡar"
Beibl i bawb o bobl y byd,bˈəɪbl ɨ bˈaʊb oː bˈɔbl ə bˈɨːd
